training-size,num-distinct,NDPM
10,19,0.427129
11,21,0.477424
12,23,0.500667
13,25,0.4759
14,27,0.451515
15,27,0.395313
16,29,0.3755
17,30,0.361593
18,32,0.397028
19,34,0.331301
20,34,0.332254
21,36,0.351496
22,38,0.33816
23,40,0.341017
24,42,0.318346
25,44,0.320442
26,45,0.30844
27,46,0.292627
28,47,0.297771
29,49,0.28634
30,51,0.298343
31,52,0.313774
32,54,0.29739
33,55,0.286531
34,56,0.295866
35,58,0.320823
36,58,0.303296
37,60,0.309964
38,62,0.287483
39,64,0.294913
40,64,0.301391
41,65,0.286721
42,66,0.287102
43,67,0.271671
44,68,0.278339
45,68,0.303867
46,68,0.290913
47,69,0.285769
48,71,0.263288
49,71,0.270337
50,71,0.279101
51,72,0.277767
52,73,0.259097
53,73,0.264622
54,74,0.276053
55,75,0.252048
56,76,0.27129
57,76,0.265003
58,76,0.265193
59,76,0.252048
60,76,0.257001
61,76,0.246142
62,77,0.272623
63,77,0.249
64,78,0.264812
65,79,0.237379
66,79,0.238141
67,80,0.243094
68,81,0.229568
69,81,0.218137
70,82,0.240046
71,83,0.237188
72,84,0.223662
73,85,0.225186
74,86,0.210897
75,86,0.212802
76,86,0.22671
77,88,0.226519
78,88,0.213183
79,90,0.203467
80,91,0.209564
81,91,0.218137
82,92,0.208611
83,92,0.211469
84,93,0.205563
85,93,0.208421
86,94,0.217375
87,94,0.206325
88,94,0.223471
89,94,0.196609
90,95,0.213374
91,95,0.206135
92,95,0.214136
93,95,0.218137
94,96,0.208611
95,96,0.19718
96,97,0.200419
97,97,0.193751
98,97,0.201181
99,98,0.194513
100,99,0.192037
101,99,0.191656
102,100,0.190512
103,101,0.177939
104,102,0.188607
105,102,0.188417
106,102,0.162507
107,102,0.174128
108,102,0.176605
109,102,0.180415
110,102,0.176415
111,102,0.183845
112,103,0.188798
113,103,0.168413
114,103,0.155077
115,103,0.177748
116,103,0.164793
117,103,0.164031
118,103,0.169937
119,103,0.159078
120,103,0.159268
121,103,0.16727
122,103,0.172223
123,103,0.165746
124,103,0.164984
125,104,0.159649
126,104,0.170128
127,104,0.159649
128,104,0.161364
129,104,0.160983
130,104,0.163079
131,104,0.146314
132,104,0.14136
133,104,0.136788
134,104,0.146885
135,104,0.145171
136,104,0.144218
137,104,0.144218
138,105,0.136597
139,106,0.132406
140,106,0.118689
141,106,0.140598
142,106,0.132216
143,106,0.130882
144,106,0.135264
145,106,0.134311
146,106,0.133359
147,106,0.138312
148,106,0.136788
149,106,0.129548
