training-size,num-graded,NDPM
10,5,0.404077
21,7,0.346923
28,8,0.351114
45,10,0.34578
66,12,0.348828
91,14,0.307678
120,16,0.290341
153,18,0.280434
190,20,0.27872
231,22,0.286912
253,23,0.274338
276,24,0.262717
300,25,0.273004
325,26,0.280434
378,28,0.269766
435,30,0.239093
496,32,0.239855
561,34,0.238141
595,35,0.231282
666,37,0.228805
703,38,0.223662
780,40,0.219661
861,42,0.211278
903,43,0.204039
990,45,0.192989
1081,47,0.186321
1176,49,0.173938
1275,51,0.174509
1378,53,0.17089
1485,55,0.162317
1596,57,0.151267
1653,58,0.148409
1711,59,0.146695
1830,61,0.145933
1891,62,0.143075
1953,63,0.136026
2016,64,0.129167
2080,65,0.127834
2211,67,0.11507
2346,69,0.11526
2485,71,0.104972
2628,73,0.0965898
2701,74,0.0958278
2775,75,0.102686
2850,76,0.0904934
3003,78,0.0826824
3081,79,0.0803963
3160,80,0.0777291
3321,82,0.0640122
3403,83,0.0621071
3570,85,0.0590589
3655,86,0.0552486
3828,88,0.0523909
3916,89,0.0447704
4005,90,0.0440084
4095,91,0.0403886
4186,92,0.0398171
4278,93,0.0329587
4371,94,0.0341017
4465,95,0.0291484
4560,96,0.0299105
4656,97,0.0217184
4753,98,0.016003
4851,99,0.0112402
4950,100,0.00990665
5050,101,0.00971614
5151,102,0.00876357
5253,103,0.0203848
5356,104,0.00590589
5460,105,0.0076205
