training-size,num-graded,NDPM1,NDPM2,NDPM3,NDPM4,NDPM5,AVG-NDPM,std-deviation
3081,79,0.0657268,0.0903029,0.099638,0.0889693,0.0952562,0.08797864,0.011751013
3160,80,0.0636312,0.0849686,0.102115,0.0912555,0.0927796,0.08694998,0.0128855824
3240,81,0.0622976,0.0813488,0.101734,0.083254,0.0830634,0.08233956,0.0124913267
3321,82,0.0621071,0.0830634,0.100781,0.0823014,0.0754429,0.08073916,0.0125277457
3403,83,0.0563917,0.0792532,0.099257,0.0729663,0.0670604,0.07498572,0.014282386
3486,84,0.0571537,0.0771576,0.0935416,0.0737283,0.0607735,0.07247094,0.0129535045
3570,85,0.053915,0.0685845,0.0855401,0.0712517,0.0592494,0.06770814,0.0108913233
3655,86,0.0520099,0.0636312,0.0803963,0.0731568,0.0579158,0.065422,0.010232216
3741,87,0.0497238,0.0554391,0.076586,0.068775,0.0548676,0.0610783,0.0099902552
3828,88,0.0489617,0.046485,0.076205,0.0664889,0.0491522,0.05745856,0.0117863253
3916,89,0.0449609,0.045342,0.0722042,0.0630596,0.0516289,0.05543912,0.0106339299
4005,90,0.0407697,0.0438179,0.0737283,0.0554391,0.0438179,0.05151458,0.0121883668
4095,91,0.0358163,0.0417222,0.068394,0.0522004,0.0398171,0.04759,0.011726306
4186,92,0.0360069,0.0342922,0.0626786,0.0499143,0.0400076,0.04457992,0.0105475854
4278,93,0.0354353,0.0365784,0.0619166,0.0459135,0.0392456,0.04381788,0.0097523203
4371,94,0.0314346,0.0356258,0.0562012,0.0352448,0.0369594,0.03909316,0.0087489881
4465,95,0.0257192,0.0289579,0.0525814,0.0320061,0.038293,0.03551152,0.0094894138
4560,96,0.0243856,0.0278148,0.052772,0.0192418,0.0403886,0.03292056,0.0121315629
4656,97,0.0198133,0.0283864,0.0497238,0.0169556,0.0360069,0.0301772,0.0118446871
4753,98,0.0175271,0.0276243,0.0405792,0.0180987,0.0333397,0.0274338,0.0088657124
4851,99,0.0203848,0.0261002,0.031244,0.015622,0.0293389,0.02453798,0.0057827964
4950,100,0.0192418,0.0264812,0.0302915,0.0127643,0.0257192,0.0228996,0.0061890548
5050,101,0.00952562,0.0207659,0.0281958,0.0104782,0.0255287,0.018898844,0.0076503445
5151,102,0.00876357,0.0142884,0.0238141,0.0127643,0.0255287,0.017031814,0.0065161082
5253,103,0.00704896,0.0127643,0.0188607,0.0100972,0.0236235,0.014478932,0.0060027833
5356,104,0.00495332,0.0129548,0.0121928,0.00781101,0.0154315,0.010668686,0.0037700228
5460,105,0.00381025,0.00838255,0.00876357,0.00666794,0.0104782,0.007620502,0.0022573947
