training-size,num-graded,NDPM
10,5,0.42008
15,6,0.428272
21,7,0.448085
28,8,0.54658
36,9,0.52048
45,10,0.522957
55,11,0.462374
66,12,0.352829
78,13,0.379501
91,14,0.361402
105,15,0.407506
120,16,0.407506
136,17,0.414365
153,18,0.392265
171,19,0.355687
190,20,0.375119
210,21,0.379691
231,22,0.380072
253,23,0.396456
276,24,0.394932
300,25,0.371118
325,26,0.346352
351,27,0.3755
378,28,0.377977
406,29,0.375881
435,30,0.30101
465,31,0.276624
496,32,0.273576
528,33,0.276434
561,34,0.267861
595,35,0.286721
630,36,0.274719
666,37,0.277767
703,38,0.27491
741,39,0.261193
780,40,0.268432
820,41,0.238712
861,42,0.230139
903,43,0.225567
946,44,0.226519
990,45,0.21928
1035,46,0.204039
1081,47,0.204229
1128,48,0.18956
1176,49,0.193942
1225,50,0.184797
1275,51,0.19318
1326,52,0.194894
1378,53,0.173747
1431,54,0.174319
1485,55,0.168223
1540,56,0.166127
1596,57,0.166127
1653,58,0.163079
1711,59,0.165746
1770,60,0.157363
1830,61,0.154696
1891,62,0.155268
1953,63,0.146885
2016,64,0.143265
2080,65,0.140979
2145,66,0.132406
2211,67,0.131263
2278,68,0.123071
2346,69,0.119832
2415,70,0.116403
2485,71,0.10764
2556,72,0.10421
2628,73,0.0899219
2701,74,0.0802058
2775,75,0.0897314
2850,76,0.0777291
2926,77,0.0685845
3003,78,0.0666794
3081,79,0.0657268
3160,80,0.0636312
3240,81,0.0622976
3321,82,0.0621071
3403,83,0.0563917
3486,84,0.0571537
3570,85,0.053915
3655,86,0.0520099
3741,87,0.0497238
3828,88,0.0489617
3916,89,0.0449609
4005,90,0.0407697
4095,91,0.0358163
4186,92,0.0360069
4278,93,0.0354353
4371,94,0.0314346
4465,95,0.0257192
4560,96,0.0243856
4656,97,0.0198133
4753,98,0.0175271
4851,99,0.0203848
4950,100,0.0192418
5050,101,0.00952562
5151,102,0.00876357
5253,103,0.00704896
5356,104,0.00495332
5460,105,0.00381025
