training-size,num-graded,NDPM
10,5,0.486569
21,7,0.40141
36,9,0.406744
55,11,0.369404
78,13,0.341208
105,15,0.30501
136,17,0.29758
171,19,0.30844
210,21,0.296628
253,23,0.28615
300,25,0.287293
325,26,0.26767
378,28,0.271861
435,30,0.269956
496,32,0.26386
561,34,0.245571
630,36,0.232806
666,37,0.224043
741,39,0.231854
780,40,0.23052
861,42,0.224424
903,43,0.216041
990,45,0.203277
1081,47,0.196228
1128,48,0.195275
1176,49,0.19318
1275,51,0.183654
1378,53,0.180034
1431,54,0.175843
1540,56,0.183273
1653,58,0.173176
1770,60,0.177748
1891,62,0.161936
1953,63,0.158506
2016,64,0.150695
2080,65,0.147076
2145,66,0.134502
2211,67,0.128977
2278,68,0.127453
2415,70,0.124405
2485,71,0.120023
2628,73,0.109164
2701,74,0.103258
2775,75,0.107068
2850,76,0.101924
3003,78,0.091827
3081,79,0.0895409
3160,80,0.0891598
3240,81,0.0870642
3321,82,0.0859211
3403,83,0.0893504
3486,84,0.0887788
3570,85,0.0783006
3655,86,0.0754429
3741,87,0.0657268
3916,89,0.0624881
4005,90,0.0586778
4095,91,0.0558202
4186,92,0.0544866
4278,93,0.0520099
4371,94,0.0434368
4465,95,0.0377215
4560,96,0.0365784
4656,97,0.030863
4753,98,0.0299105
4851,99,0.0264812
4950,100,0.0224805
5050,101,0.0169556
5151,102,0.0171461
5253,103,0.00666794
5356,104,0.00628691
5460,105,0.00438179
