training-size,num-graded,NDPM
10,5,0.502572
21,7,0.50181
36,9,0.447323
55,11,0.460278
78,13,0.425795
105,15,0.429606
136,17,0.45342
171,19,0.409602
210,21,0.36426
253,23,0.35321
276,24,0.337779
300,25,0.37188
351,27,0.335492
378,28,0.333397
406,29,0.317394
465,31,0.320442
496,32,0.311107
528,33,0.304248
595,35,0.280053
630,36,0.286912
703,38,0.276434
780,40,0.270528
820,41,0.257954
861,42,0.258716
946,44,0.251857
1035,46,0.243094
1128,48,0.23033
1225,50,0.223662
1275,51,0.227472
1378,53,0.217184
1431,54,0.217565
1540,56,0.197942
1653,58,0.180034
1770,60,0.164603
1830,61,0.164031
1891,62,0.152219
2016,64,0.153744
2080,65,0.148981
2145,66,0.146695
2211,67,0.137359
2346,69,0.12993
2485,71,0.116403
2556,72,0.114307
2628,73,0.112974
2701,74,0.106496
2775,75,0.105734
2850,76,0.099638
3003,78,0.0981139
3081,79,0.0920175
3240,81,0.0802058
3321,82,0.0775386
3486,84,0.0792532
3570,85,0.0756335
3655,86,0.0718232
3741,87,0.0657268
3828,88,0.0624881
3916,89,0.0546771
4005,90,0.0409602
4095,91,0.0411507
4186,92,0.0369594
4278,93,0.0367689
4371,94,0.0306725
4465,95,0.0314346
4560,96,0.0285769
4656,97,0.0270528
4753,98,0.0192418
4851,99,0.0173366
4950,100,0.0161936
5050,101,0.0120023
5151,102,0.00838255
5253,103,0.00533435
5356,104,0.00666794
5460,105,0.00571537
