training-size,num-distinct,NDPM
10,17,0.336445
11,19,0.344828
12,21,0.331873
13,23,0.336255
14,25,0.408268
15,27,0.349019
16,29,0.375881
17,30,0.372833
18,32,0.38655
19,34,0.424462
20,36,0.459516
21,38,0.410554
22,38,0.406363
23,40,0.387121
24,41,0.33473
25,43,0.347876
26,45,0.330349
27,46,0.310916
28,47,0.291484
29,49,0.308059
30,50,0.306344
31,52,0.302343
32,52,0.342351
33,54,0.307678
34,54,0.297962
35,55,0.299105
36,56,0.321014
37,57,0.31987
38,58,0.311869
39,58,0.318156
40,59,0.329777
41,59,0.317965
42,60,0.294913
43,62,0.303105
44,63,0.302915
45,63,0.331111
46,64,0.29758
47,64,0.286531
48,66,0.29377
49,67,0.28615
50,68,0.296818
51,70,0.282721
52,72,0.298533
53,73,0.301581
54,73,0.307868
55,75,0.320061
56,75,0.300438
57,75,0.306344
58,76,0.303677
59,76,0.298343
60,78,0.286531
61,79,0.270337
62,79,0.292246
63,81,0.282339
64,82,0.273576
65,82,0.261574
66,83,0.26748
67,83,0.258144
68,84,0.253001
69,84,0.27129
70,84,0.251476
71,84,0.24919
72,85,0.247285
73,86,0.24519
74,86,0.240046
75,86,0.24157
76,87,0.246714
77,87,0.243284
78,87,0.240427
79,88,0.261002
80,89,0.236616
81,89,0.230139
82,89,0.242713
83,89,0.248428
84,89,0.244046
85,89,0.251476
86,89,0.240427
87,90,0.239284
88,90,0.256239
89,90,0.249571
90,92,0.22309
91,92,0.223852
92,93,0.236807
93,93,0.224614
94,93,0.221376
95,94,0.222328
96,95,0.225757
97,95,0.232235
98,95,0.224805
99,95,0.201372
100,95,0.225948
101,95,0.20823
102,95,0.209754
103,95,0.226138
104,95,0.216041
105,95,0.210326
106,95,0.198705
107,95,0.2008
108,95,0.199657
109,95,0.216422
110,95,0.209564
111,95,0.202515
112,95,0.196799
113,97,0.201372
114,97,0.192418
115,97,0.189941
116,97,0.19699
117,97,0.193942
118,97,0.184035
119,97,0.183082
120,98,0.207849
121,98,0.184607
122,98,0.183273
123,98,0.191465
124,99,0.200229
125,99,0.19337
126,99,0.181939
127,100,0.186702
128,101,0.187274
129,101,0.183464
130,101,0.180796
131,102,0.17108
132,102,0.162698
133,102,0.160983
134,102,0.152982
135,102,0.153744
136,102,0.155268
137,102,0.144599
138,102,0.147076
139,102,0.146504
140,102,0.135835
141,102,0.135264
142,102,0.142884
143,102,0.147266
144,102,0.141741
145,102,0.140217
146,102,0.137169
147,102,0.140027
148,102,0.137931
149,102,0.148981
