training-size,num-graded,NDPM
10,5,0.300629
15,6,0.321014
21,7,0.335302
28,8,0.332825
36,9,0.337969
45,10,0.342922
55,11,0.337398
66,12,0.348257
78,13,0.349019
91,14,0.336636
105,15,0.33473
120,16,0.323681
136,17,0.322157
153,18,0.326157
171,19,0.326729
190,20,0.334159
210,21,0.325967
231,22,0.340255
253,23,0.344637
276,24,0.322728
300,25,0.327872
325,26,0.33473
351,27,0.311869
378,28,0.307106
406,29,0.313965
435,30,0.320061
465,31,0.311107
496,32,0.321014
528,33,0.318156
561,34,0.31606
595,35,0.313965
630,36,0.310345
666,37,0.310345
703,38,0.285959
741,39,0.294151
780,40,0.296247
820,41,0.275862
861,42,0.270147
903,43,0.27891
946,44,0.268432
990,45,0.273576
1035,46,0.259478
1081,47,0.257382
1128,48,0.258335
1176,49,0.253001
1225,50,0.253382
1275,51,0.249952
1326,52,0.242332
1378,53,0.236807
1431,54,0.242332
1485,55,0.24176
1540,56,0.232806
1596,57,0.227662
1653,58,0.21947
1711,59,0.222138
1770,60,0.219089
1830,61,0.225948
1891,62,0.211278
1953,63,0.224424
2016,64,0.20823
2080,65,0.175843
2145,66,0.152029
2211,67,0.154506
2278,68,0.140979
2346,69,0.132978
2415,70,0.129739
2485,71,0.129739
2556,72,0.127643
2628,73,0.116213
2701,74,0.113926
2775,75,0.107449
2850,76,0.10402
2926,77,0.10402
3003,78,0.0977329
3081,79,0.0979234
3160,80,0.0971614
3240,81,0.0906839
3321,82,0.0895409
3403,83,0.0897314
3486,84,0.0876357
3570,85,0.0842065
3655,86,0.076205
3741,87,0.0741094
3828,88,0.0754429
3916,89,0.0674414
4005,90,0.0661078
4095,91,0.0581063
4186,92,0.0533435
4278,93,0.0462945
4371,94,0.0480091
4465,95,0.0434368
4560,96,0.0377215
4656,97,0.0369594
4753,98,0.0365784
4851,99,0.0287674
4950,100,0.022671
5050,101,0.0146695
5151,102,0.0120023
5253,103,0.00476281
5356,104,0.00190512
5460,105,0.00076205
