training-size,num-graded,NDPM
10,5,0.485235
15,6,0.483711
21,7,0.439512
28,8,0.367118
36,9,0.342732
45,10,0.336636
55,11,0.365974
66,12,0.376262
78,13,0.359878
91,14,0.370356
105,15,0.371309
120,16,0.37188
136,17,0.323871
153,18,0.335111
171,19,0.329206
190,20,0.330539
210,21,0.319489
231,22,0.317775
253,23,0.314155
276,24,0.291103
300,25,0.299867
325,26,0.315108
351,27,0.300248
378,28,0.306725
406,29,0.31244
435,30,0.318346
465,31,0.294913
496,32,0.273004
528,33,0.27129
561,34,0.262717
595,35,0.268432
630,36,0.261383
666,37,0.250333
703,38,0.236998
741,39,0.24176
780,40,0.228996
820,41,0.220613
861,42,0.220804
903,43,0.220423
946,44,0.216422
990,45,0.218708
1035,46,0.210135
1081,47,0.213946
1128,48,0.218327
1176,49,0.209945
1225,50,0.194704
1275,51,0.195466
1326,52,0.184988
1378,53,0.183273
1431,54,0.179653
1485,55,0.178701
1540,56,0.177177
1596,57,0.179463
1653,58,0.172985
1711,59,0.164603
1770,60,0.162317
1830,61,0.161555
1891,62,0.151648
1953,63,0.152219
2016,64,0.147076
2080,65,0.137359
2145,66,0.136216
2211,67,0.13755
2278,68,0.125357
2346,69,0.119451
2415,70,0.115641
2485,71,0.120975
2556,72,0.114307
2628,73,0.108402
2701,74,0.104591
2775,75,0.0990665
2850,76,0.0906839
2926,77,0.092208
3003,78,0.0868737
3081,79,0.0903029
3160,80,0.0849686
3240,81,0.0813488
3321,82,0.0830634
3403,83,0.0792532
3486,84,0.0771576
3570,85,0.0685845
3655,86,0.0636312
3741,87,0.0554391
3828,88,0.046485
3916,89,0.045342
4005,90,0.0438179
4095,91,0.0417222
4186,92,0.0342922
4278,93,0.0365784
4371,94,0.0356258
4465,95,0.0289579
4560,96,0.0278148
4656,97,0.0283864
4753,98,0.0276243
4851,99,0.0261002
4950,100,0.0264812
5050,101,0.0207659
5151,102,0.0142884
5253,103,0.0127643
5356,104,0.0129548
5460,105,0.00838255
