training-size,num-graded,NDPM
10,5,0.525433
15,6,0.485045
21,7,0.504287
28,8,0.506001
36,9,0.525243
45,10,0.487902
55,11,0.478948
66,12,0.391694
78,13,0.366165
91,14,0.383311
105,15,0.378548
120,16,0.369785
136,17,0.359688
153,18,0.33835
171,19,0.31606
190,20,0.307487
210,21,0.309202
231,22,0.320442
253,23,0.330349
276,24,0.313965
300,25,0.301581
325,26,0.29758
351,27,0.296818
378,28,0.291865
406,29,0.287674
435,30,0.283102
465,31,0.293389
496,32,0.273385
528,33,0.260812
561,34,0.259669
595,35,0.254715
630,36,0.251286
666,37,0.244618
703,38,0.23776
741,39,0.238903
780,40,0.227662
820,41,0.22309
861,42,0.224424
903,43,0.21928
946,44,0.225186
990,45,0.207087
1035,46,0.200038
1081,47,0.199657
1128,48,0.202705
1176,49,0.198133
1225,50,0.189179
1275,51,0.187464
1326,52,0.181177
1378,53,0.188226
1431,54,0.180606
1485,55,0.179463
1540,56,0.165936
1596,57,0.164412
1653,58,0.162888
1711,59,0.164603
1770,60,0.164222
1830,61,0.164603
1891,62,0.166889
1953,63,0.154887
2016,64,0.146504
2080,65,0.142503
2145,66,0.143646
2211,67,0.140408
2278,68,0.139646
2346,69,0.132025
2415,70,0.123071
2485,71,0.119261
2556,72,0.121737
2628,73,0.106496
2701,74,0.100019
2775,75,0.0998285
2850,76,0.0925891
2926,77,0.0981139
3003,78,0.084397
3081,79,0.0887788
3160,80,0.0861116
3240,81,0.0771576
3321,82,0.0767765
3403,83,0.0792532
3486,84,0.0752524
3570,85,0.0742999
3655,86,0.068394
3741,87,0.0655363
3828,88,0.0611545
3916,89,0.0586778
4005,90,0.0584873
4095,91,0.0537245
4186,92,0.0481997
4278,93,0.0508668
4371,94,0.0485807
4465,95,0.0405792
4560,96,0.0396266
4656,97,0.0346733
4753,98,0.0346733
4851,99,0.0318156
4950,100,0.0278148
5050,101,0.0228615
5151,102,0.0196228
5253,103,0.0118118
5356,104,0.0110497
5460,105,0.0108592
