training-size,num-distinct,NDPM
10,17,0.387693
11,19,0.391503
12,21,0.378167
13,21,0.409983
14,23,0.402553
15,24,0.462374
16,26,0.417222
17,26,0.457801
18,28,0.44618
19,30,0.393599
20,32,0.448657
21,33,0.351877
22,35,0.358163
23,37,0.337017
24,39,0.346733
25,40,0.367118
26,42,0.357973
27,44,0.347685
28,46,0.367689
29,48,0.37188
30,50,0.374167
31,52,0.344066
32,54,0.346733
33,55,0.333778
34,55,0.336445
35,56,0.345209
36,57,0.331492
37,59,0.332254
38,59,0.328062
39,59,0.331111
40,60,0.306535
41,61,0.30482
42,63,0.29758
43,64,0.275291
44,65,0.301772
45,67,0.28634
46,69,0.281387
47,69,0.281006
48,69,0.275862
49,70,0.285769
50,70,0.288436
51,70,0.272242
52,71,0.288817
53,72,0.280053
54,74,0.269004
55,74,0.277196
56,74,0.278148
57,74,0.266717
58,75,0.262717
59,75,0.266908
60,77,0.270528
61,78,0.263669
62,78,0.27148
63,78,0.254525
64,78,0.25662
65,78,0.254715
66,80,0.24919
67,81,0.246142
68,82,0.25262
69,82,0.239474
70,82,0.243475
71,82,0.22671
72,82,0.243665
73,83,0.242903
74,83,0.232616
75,84,0.219851
76,84,0.23052
77,84,0.221376
78,85,0.224043
79,85,0.217756
80,86,0.221757
81,87,0.214517
82,87,0.220804
83,87,0.210516
84,88,0.221947
85,88,0.219089
86,89,0.213755
87,90,0.227281
88,92,0.230139
89,92,0.21185
90,93,0.227662
91,93,0.222138
92,93,0.203086
93,94,0.23414
94,95,0.221757
95,95,0.224805
96,95,0.219089
97,95,0.21928
98,95,0.214517
99,95,0.214517
100,95,0.197752
101,96,0.209945
102,96,0.209373
103,96,0.191084
104,97,0.192799
105,97,0.188607
106,98,0.194513
107,98,0.188798
108,98,0.190703
109,98,0.182701
110,98,0.182892
111,98,0.183654
112,98,0.196609
113,98,0.198323
114,99,0.183082
115,100,0.181368
116,100,0.172985
117,100,0.189369
118,100,0.201753
119,100,0.176415
120,101,0.191465
121,101,0.174509
122,101,0.179844
123,101,0.175462
124,101,0.170509
125,101,0.169366
126,101,0.187083
127,101,0.179653
128,102,0.188988
129,102,0.168413
130,102,0.15622
131,102,0.177177
132,102,0.173557
133,103,0.16365
134,103,0.171842
135,103,0.15622
136,103,0.166127
137,103,0.172223
138,103,0.170318
139,103,0.142884
140,103,0.159268
141,103,0.164412
142,103,0.152219
143,103,0.151076
144,103,0.145171
145,103,0.144789
146,103,0.144599
147,103,0.160602
148,103,0.150124
149,103,0.150124
