training-size,num-graded,NDPM
10,5,0.391694
15,6,0.374357
21,7,0.387502
28,8,0.389026
36,9,0.387312
45,10,0.376453
55,11,0.357401
66,12,0.355306
78,13,0.350352
91,14,0.348828
105,15,0.350924
120,16,0.352067
136,17,0.323871
153,18,0.331111
171,19,0.307487
190,20,0.323109
210,21,0.313774
231,22,0.311107
253,23,0.312631
276,24,0.307487
300,25,0.283483
325,26,0.286531
351,27,0.279482
378,28,0.280625
406,29,0.26748
435,30,0.265193
465,31,0.277767
496,32,0.273957
528,33,0.272814
561,34,0.274528
595,35,0.262145
630,36,0.268242
666,37,0.265193
703,38,0.258906
741,39,0.246333
780,40,0.239284
820,41,0.231663
861,42,0.232806
903,43,0.213183
946,44,0.207468
990,45,0.209564
1035,46,0.201562
1081,47,0.19699
1128,48,0.190703
1176,49,0.196037
1225,50,0.184988
1275,51,0.18594
1326,52,0.176986
1378,53,0.174509
1431,54,0.17089
1485,55,0.160602
1540,56,0.16746
1596,57,0.161174
1653,58,0.158125
1711,59,0.163841
1770,60,0.156792
1830,61,0.154315
1891,62,0.152982
1953,63,0.156601
2016,64,0.152029
2080,65,0.145742
2145,66,0.144599
2211,67,0.134121
2278,68,0.132025
2346,69,0.128977
2415,70,0.132025
2485,71,0.129739
2556,72,0.129167
2628,73,0.1225
2701,74,0.11907
2775,75,0.120213
2850,76,0.111069
2926,77,0.109735
3003,78,0.102496
3081,79,0.0935416
3160,80,0.0916365
3240,81,0.0863022
3321,82,0.0847781
3403,83,0.0815393
3486,84,0.0805868
3570,85,0.0735378
3655,86,0.0699181
3741,87,0.0640122
3828,88,0.0622976
3916,89,0.0529625
4005,90,0.0533435
4095,91,0.0499143
4186,92,0.0455325
4278,93,0.0434368
4371,94,0.0396266
4465,95,0.0358163
4560,96,0.0323871
4656,97,0.0327681
4753,98,0.0289579
4851,99,0.030101
4950,100,0.0228615
5050,101,0.0213374
5151,102,0.0186702
5253,103,0.0137169
5356,104,0.0198133
5460,105,0.0140979
