training-size,num-graded,NDPM
10,5,0.355687
15,6,0.373404
21,7,0.358926
28,8,0.343113
36,9,0.34197
45,10,0.308821
55,11,0.30844
66,12,0.298914
78,13,0.326729
91,14,0.323681
105,15,0.311107
120,16,0.289769
136,17,0.295104
153,18,0.28615
171,19,0.277767
190,20,0.274528
210,21,0.277577
231,22,0.280053
253,23,0.279482
276,24,0.270718
300,25,0.267289
325,26,0.268242
351,27,0.270147
378,28,0.252429
406,29,0.253001
435,30,0.246523
465,31,0.246142
496,32,0.248619
528,33,0.236616
561,34,0.236807
595,35,0.233568
630,36,0.223852
666,37,0.225376
703,38,0.226519
741,39,0.228805
780,40,0.227853
820,41,0.224233
861,42,0.230711
903,43,0.228234
946,44,0.217184
990,45,0.216041
1035,46,0.217565
1081,47,0.218137
1128,48,0.213755
1176,49,0.218137
1225,50,0.204801
1275,51,0.199657
1326,52,0.191656
1378,53,0.185559
1431,54,0.186131
1485,55,0.180225
1540,56,0.174128
1596,57,0.17489
1653,58,0.168032
1711,59,0.169747
1770,60,0.166127
1830,61,0.160793
1891,62,0.167841
1953,63,0.161364
2016,64,0.146885
2080,65,0.148409
2145,66,0.147266
2211,67,0.141551
2278,68,0.139646
2346,69,0.135073
2415,70,0.128215
2485,71,0.130501
2556,72,0.129167
2628,73,0.121166
2701,74,0.116784
2775,75,0.113545
2850,76,0.10783
2926,77,0.0967803
3003,78,0.0931606
3081,79,0.0889693
3160,80,0.0912555
3240,81,0.083254
3321,82,0.0823014
3403,83,0.0729663
3486,84,0.0737283
3570,85,0.0712517
3655,86,0.0731568
3741,87,0.068775
3828,88,0.0664889
3916,89,0.0630596
4005,90,0.0554391
4095,91,0.0522004
4186,92,0.0499143
4278,93,0.0459135
4371,94,0.0352448
4465,95,0.0320061
4560,96,0.0192418
4656,97,0.0169556
4753,98,0.0180987
4851,99,0.015622
4950,100,0.0127643
5050,101,0.0104782
5151,102,0.0127643
5253,103,0.0100972
5356,104,0.00781101
5460,105,0.00666794
