training-size,num-graded,NDPM
10,5,0.331873
15,6,0.328062
21,7,0.454944
28,8,0.462564
36,9,0.447133
45,10,0.426557
55,11,0.439893
66,12,0.450562
78,13,0.42008
91,14,0.38674
105,15,0.388455
120,16,0.366546
136,17,0.38293
153,18,0.376262
171,19,0.378929
190,20,0.366355
210,21,0.354925
231,22,0.329015
253,23,0.309964
276,24,0.294723
300,25,0.297009
325,26,0.294913
351,27,0.305392
378,28,0.304058
406,29,0.30501
435,30,0.294151
465,31,0.297771
496,32,0.303677
528,33,0.288626
561,34,0.290341
595,35,0.283292
630,36,0.282339
666,37,0.278529
703,38,0.257573
741,39,0.236426
780,40,0.237569
820,41,0.229377
861,42,0.227662
903,43,0.228805
946,44,0.236426
990,45,0.23776
1035,46,0.228805
1081,47,0.233759
1128,48,0.216613
1176,49,0.220613
1225,50,0.217375
1275,51,0.207087
1326,52,0.198323
1378,53,0.195085
1431,54,0.18975
1485,55,0.194513
1540,56,0.191656
1596,57,0.191465
1653,58,0.194513
1711,59,0.182892
1770,60,0.184416
1830,61,0.180606
1891,62,0.170128
1953,63,0.169175
2016,64,0.168985
2080,65,0.165174
2145,66,0.162507
2211,67,0.159649
2278,68,0.155649
2346,69,0.153363
2415,70,0.146885
2485,71,0.147838
2556,72,0.145171
2628,73,0.135264
2701,74,0.127643
2775,75,0.129358
2850,76,0.124214
2926,77,0.118308
3003,78,0.110116
3081,79,0.106687
3160,80,0.105353
3240,81,0.098876
3321,82,0.091827
3403,83,0.084397
3486,84,0.0815393
3570,85,0.0750619
3655,86,0.0714422
3741,87,0.0621071
3828,88,0.0615355
3916,89,0.0628691
4005,90,0.0537245
4095,91,0.0514384
4186,92,0.045342
4278,93,0.0443894
4371,94,0.0407697
4465,95,0.0396266
4560,96,0.0388645
4656,97,0.0394361
4753,98,0.0323871
4851,99,0.0295294
4950,100,0.0274338
5050,101,0.0281958
5151,102,0.0228615
5253,103,0.0219089
5356,104,0.0163841
5460,105,0.00552486
