training-size,num-graded,NDPM
10,5,0.405601
15,6,0.403886
21,7,0.354544
28,8,0.380263
36,9,0.414555
45,10,0.3233
55,11,0.317965
66,12,0.342922
78,13,0.325586
91,14,0.327872
105,15,0.325014
120,16,0.314155
136,17,0.311297
153,18,0.35321
171,19,0.309583
190,20,0.292818
210,21,0.318727
231,22,0.293008
253,23,0.273195
276,24,0.267289
300,25,0.278148
325,26,0.272623
351,27,0.282721
378,28,0.266717
406,29,0.25662
435,30,0.264622
465,31,0.269575
496,32,0.262907
528,33,0.263479
561,34,0.244046
595,35,0.236426
630,36,0.240046
666,37,0.228805
703,38,0.218899
741,39,0.208421
780,40,0.20823
820,41,0.208992
861,42,0.202705
903,43,0.202134
946,44,0.201562
990,45,0.205182
1035,46,0.198323
1081,47,0.196037
1128,48,0.191084
1176,49,0.186321
1225,50,0.191846
1275,51,0.189369
1326,52,0.182511
1378,53,0.176224
1431,54,0.176034
1485,55,0.1747
1540,56,0.170699
1596,57,0.173557
1653,58,0.170128
1711,59,0.160412
1770,60,0.162698
1830,61,0.15622
1891,62,0.155649
1953,63,0.14879
2016,64,0.159078
2080,65,0.153172
2145,66,0.153363
2211,67,0.140979
2278,68,0.143075
2346,69,0.12993
2415,70,0.125548
2485,71,0.127072
2556,72,0.125929
2628,73,0.124595
2701,74,0.117546
2775,75,0.118308
2850,76,0.114117
2926,77,0.108211
3003,78,0.103448
3081,79,0.099638
3160,80,0.102115
3240,81,0.101734
3321,82,0.100781
3403,83,0.099257
3486,84,0.0935416
3570,85,0.0855401
3655,86,0.0803963
3741,87,0.076586
3828,88,0.076205
3916,89,0.0722042
4005,90,0.0737283
4095,91,0.068394
4186,92,0.0626786
4278,93,0.0619166
4371,94,0.0562012
4465,95,0.0525814
4560,96,0.052772
4656,97,0.0497238
4753,98,0.0405792
4851,99,0.031244
4950,100,0.0302915
5050,101,0.0281958
5151,102,0.0238141
5253,103,0.0188607
5356,104,0.0121928
5460,105,0.00876357
