training-size,num-graded,NDPM
10,5,0.327491
15,6,0.345018
21,7,0.346161
28,8,0.329968
36,9,0.347685
45,10,0.341017
55,11,0.365403
66,12,0.347876
78,13,0.33473
91,14,0.338922
105,15,0.329587
120,16,0.33816
136,17,0.322347
153,18,0.329777
171,19,0.325586
190,20,0.315489
210,21,0.304439
231,22,0.307678
253,23,0.31244
276,24,0.301391
300,25,0.287674
325,26,0.292437
351,27,0.294151
378,28,0.290532
406,29,0.277386
435,30,0.277958
465,31,0.275862
496,32,0.268813
528,33,0.270528
561,34,0.270147
595,35,0.277005
630,36,0.269004
666,37,0.266717
703,38,0.264431
741,39,0.271099
780,40,0.263098
820,41,0.261955
861,42,0.240998
903,43,0.241951
946,44,0.243284
990,45,0.23052
1035,46,0.229377
1081,47,0.221185
1128,48,0.211469
1176,49,0.209183
1225,50,0.201372
1275,51,0.205753
1326,52,0.204991
1378,53,0.192989
1431,54,0.18975
1485,55,0.186893
1540,56,0.184035
1596,57,0.180034
1653,58,0.185369
1711,59,0.178701
1770,60,0.175843
1830,61,0.17851
1891,62,0.166127
1953,63,0.160221
2016,64,0.150886
2080,65,0.147647
2145,66,0.141741
2211,67,0.13755
2278,68,0.132978
2346,69,0.121547
2415,70,0.126119
2485,71,0.118308
2556,72,0.120785
2628,73,0.115832
2701,74,0.108021
2775,75,0.108402
2850,76,0.109354
2926,77,0.104401
3003,78,0.0998285
3081,79,0.0901124
3160,80,0.0887788
3240,81,0.0878263
3321,82,0.0828729
3403,83,0.075824
3486,84,0.0786817
3570,85,0.0651553
3655,86,0.0573443
3741,87,0.0558202
3828,88,0.0579158
3916,89,0.0586778
4005,90,0.0537245
4095,91,0.0510573
4186,92,0.0514384
4278,93,0.0499143
4371,94,0.0506763
4465,95,0.0449609
4560,96,0.0392456
4656,97,0.037912
4753,98,0.0371499
4851,99,0.0352448
4950,100,0.0314346
5050,101,0.0314346
5151,102,0.0219089
5253,103,0.0177177
5356,104,0.00971614
5460,105,0.00895409
