training-size,num-graded,NDPM
10,5,0.426748
15,6,0.446371
21,7,0.465041
28,8,0.423509
36,9,0.439512
45,10,0.402362
55,11,0.433797
66,12,0.422366
78,13,0.419508
91,14,0.437417
105,15,0.408459
120,16,0.433035
136,17,0.427891
153,18,0.417794
171,19,0.428082
190,20,0.395313
210,21,0.381215
231,22,0.36788
253,23,0.346161
276,24,0.315108
300,25,0.311678
325,26,0.294723
351,27,0.277005
378,28,0.287864
406,29,0.296437
435,30,0.298152
465,31,0.290913
496,32,0.277577
528,33,0.250143
561,34,0.265765
595,35,0.257382
630,36,0.262907
666,37,0.24919
703,38,0.254525
741,39,0.240427
780,40,0.254144
820,41,0.243665
861,42,0.240236
903,43,0.222519
946,44,0.230139
990,45,0.214136
1035,46,0.216803
1081,47,0.207087
1128,48,0.205563
1176,49,0.198705
1225,50,0.190512
1275,51,0.195275
1326,52,0.18232
1378,53,0.183273
1431,54,0.1747
1485,55,0.167079
1540,56,0.162698
1596,57,0.156982
1653,58,0.157744
1711,59,0.155839
1770,60,0.154125
1830,61,0.156982
1891,62,0.1526
1953,63,0.146504
2016,64,0.145552
2080,65,0.144027
2145,66,0.133168
2211,67,0.133168
2278,68,0.1265
2346,69,0.127262
2415,70,0.117927
2485,71,0.119261
2556,72,0.106306
2628,73,0.105353
2701,74,0.100972
2775,75,0.0973519
2850,76,0.0925891
2926,77,0.0923986
3003,78,0.0876357
3081,79,0.0834445
3160,80,0.0788722
3240,81,0.0805868
3321,82,0.076586
3403,83,0.0693465
3486,84,0.0702991
3570,85,0.0767765
3655,86,0.061726
3741,87,0.061345
3828,88,0.0584873
3916,89,0.0590589
4005,90,0.0474376
4095,91,0.0470566
4186,92,0.0466756
4278,93,0.037912
4371,94,0.0348638
4465,95,0.0270528
4560,96,0.023433
4656,97,0.0163841
4753,98,0.0167651
4851,99,0.01486
4950,100,0.01486
5050,101,0.00952562
5151,102,0.00495332
5253,103,0.00133359
5356,104,0.00381025
5460,105,0.000571537
