training-size,num-graded,NDPM
10,5,0.448276
15,6,0.407697
21,7,0.321204
28,8,0.354163
36,9,0.373595
45,10,0.333968
55,11,0.322919
66,12,0.331492
78,13,0.326348
91,14,0.336445
105,15,0.339684
120,16,0.311678
136,17,0.296247
153,18,0.299867
171,19,0.317394
190,20,0.304439
210,21,0.307868
231,22,0.29358
253,23,0.293008
276,24,0.29758
300,25,0.290722
325,26,0.286721
351,27,0.283864
378,28,0.277577
406,29,0.262145
435,30,0.261574
465,31,0.258144
496,32,0.260621
528,33,0.254715
561,34,0.246904
595,35,0.257382
630,36,0.253953
666,37,0.233949
703,38,0.239284
741,39,0.239474
780,40,0.236616
820,41,0.227662
861,42,0.227091
903,43,0.228615
946,44,0.209564
990,45,0.206135
1035,46,0.204991
1081,47,0.190131
1128,48,0.188988
1176,49,0.17832
1225,50,0.177558
1275,51,0.177748
1326,52,0.179082
1378,53,0.177939
1431,54,0.172033
1485,55,0.174319
1540,56,0.172414
1596,57,0.16346
1653,58,0.162126
1711,59,0.157554
1770,60,0.150886
1830,61,0.151076
1891,62,0.144789
1953,63,0.140789
2016,64,0.135073
2080,65,0.132216
2145,66,0.124786
2211,67,0.127072
2278,68,0.127072
2346,69,0.11907
2415,70,0.11888
2485,71,0.107259
2556,72,0.101543
2628,73,0.102305
2701,74,0.0939227
2775,75,0.0952562
2850,76,0.091827
2926,77,0.0923986
3003,78,0.0901124
3081,79,0.0906839
3160,80,0.0872547
3240,81,0.0821109
3321,82,0.0826824
3403,83,0.0760145
3486,84,0.075824
3570,85,0.0735378
3655,86,0.0674414
3741,87,0.060964
3828,88,0.0645837
3916,89,0.0468661
4005,90,0.0455325
4095,91,0.0472471
4186,92,0.0447704
4278,93,0.0369594
4371,94,0.0390551
4465,95,0.0287674
4560,96,0.0276243
4656,97,0.0274338
4753,98,0.0200038
4851,99,0.0165746
4950,100,0.0184797
5050,101,0.0120023
5151,102,0.0118118
5253,103,0.00819204
5356,104,0.00590589
5460,105,0.00209564
