training-size,num-graded,NDPM
10,5,0.440655
21,7,0.377215
36,9,0.403886
55,11,0.388264
78,13,0.366546
91,14,0.343303
120,16,0.332444
153,18,0.307678
190,20,0.321776
231,22,0.293389
253,23,0.283483
300,25,0.259478
351,27,0.253953
406,29,0.235664
465,31,0.222138
528,33,0.220804
561,34,0.214708
630,36,0.206706
666,37,0.206325
741,39,0.206135
820,41,0.198514
903,43,0.191656
990,45,0.188036
1081,47,0.182892
1176,49,0.184416
1225,50,0.183654
1275,51,0.170699
1378,53,0.169366
1485,55,0.164603
1596,57,0.162507
1653,58,0.160221
1770,60,0.157935
1830,61,0.156601
1891,62,0.143075
1953,63,0.139455
2080,65,0.136216
2211,67,0.12993
2346,69,0.124214
2415,70,0.11907
2556,72,0.114117
2701,74,0.0849686
2775,75,0.0811583
2850,76,0.0718232
2926,77,0.0748714
3003,78,0.0706801
3081,79,0.068013
3240,81,0.0672509
3403,83,0.0584873
3486,84,0.0571537
3655,86,0.053915
3741,87,0.0508668
3828,88,0.0481997
3916,89,0.045342
4005,90,0.0445799
4095,91,0.0405792
4278,93,0.0394361
4371,94,0.0348638
4465,95,0.0381025
4560,96,0.0346733
4656,97,0.030863
4753,98,0.0268623
4851,99,0.0295294
4950,100,0.0190512
5050,101,0.0190512
5151,102,0.0142884
5253,103,0.0114307
5356,104,0.0106687
5460,105,0.00971614
